System,SCF Energy,S1,S2,S3,T1,T2,T3,Function
CSiHHH_CCN_CCl_CCHHH_COH_CCFFF,-1526.228376,3.09,4.65,5.02,2.03,3,4.37,-0.97
CSiHHH_CCN_CCl_CSH_COH_CCFFF,-1885.11153,2.93,3.89,5.18,1.91,2.66,4.19,-0.89
CSiHHH_CCN_CCl_COCHHH_COH_CCFFF,-1601.444618,3.14,4.46,5.4,2.03,2.9,4.34,-0.92
CSiHHH_CCN_CCl_COH_COH_CCFFF,-1562.16842,3.62,4.59,5.49,2.33,3.11,4.49,-1.04
CSiHHH_CCN_CCl_CNHH_COH_CCFFF,-1542.309325,3.64,4.35,5.17,2.32,3.1,4.41,-1.01
CSiHHH_CCN_CCl_CNMeMe_COH_CCFFF,-1620.877079,3.08,3.6,4.86,1.91,2.63,4.32,-0.75
CF_CNMeMe_CNOO_CNOO_CNOO_CNMeMe,-1212.712773,2.77,3.62,3.77,1.73,2.4,2.52,-0.69
CF_CNMeMe_CNOO_CCN_CNOO_CNMeMe,-1100.469625,2.74,3.61,3.77,1.64,2.49,2.82,-0.54
CF_CNMeMe_CNOO_CCFFF_CNOO_CNMeMe,-1345.279957,2.91,3.68,3.77,1.85,2.57,2.88,-0.78
CF_CNMeMe_CNOO_CCl_CNOO_CNMeMe,-1467.837944,3.01,3.53,3.83,1.92,2.66,2.83,-0.83
CF_CNMeMe_CNOO_CF_CNOO_CNMeMe,-1107.485702,3.14,3.63,3.91,2.02,2.71,2.89,-0.9
CF_CNMeMe_CNOO_CBFF_CNOO_CNMeMe,-1232.349185,3.46,3.75,3.92,1.62,2.51,3.01,0.22
CF_CNMeMe_CNOO_CBHH_CNOO_CNMeMe,-1033.72154,3.42,3.47,4,1.88,2.34,3.1,-0.33
CF_CNMeMe_CNOO_CH_CNOO_CNMeMe,-1008.251634,3.07,3.81,4,1.96,2.63,3.01,-0.86
CF_CNMeMe_CNOO_CSiHHH_CNOO_CNMeMe,-1298.922742,2.96,3.77,3.96,1.86,2.6,2.9,-0.77
CF_CNMeMe_CNOO_CCHHH_CNOO_CNMeMe,-1047.558504,3.12,3.52,3.86,1.98,2.64,2.95,-0.84
CF_CNMeMe_CNOO_CSH_CNOO_CNMeMe,-1406.431928,3.11,3.37,3.79,1.92,2.49,2.91,-0.72
CF_CNMeMe_CNOO_COCHHH_CNOO_CNMeMe,-1122.767023,3.13,3.55,3.85,2,2.7,2.93,-0.87
CF_CNMeMe_CNOO_COH_CNOO_CNMeMe,-1083.504545,2.98,3.69,4.02,1.1,2.64,2.95,0.77
CF_CNMeMe_CNOO_CNHH_CNOO_CNMeMe,-1063.624142,3.23,3.47,3.89,1.91,2.59,3.08,-0.59
CF_CNMeMe_CNOO_CNMeMe_CNOO_CNMeMe,-1142.213106,3.15,3.63,4.01,1.97,2.68,3.16,-0.79
CNOO_CBFF_CH_CNMeMe_CH_CNMeMe,-928.609409,2.1,2.95,3.75,0.78,2.15,3.27,0.53
CCN_CBFF_CH_CNMeMe_CH_CNMeMe,-816.352845,2.85,3.79,4.59,1.49,2.53,4.36,-0.13
CCFFF_CBFF_CH_CNMeMe_CH_CNMeMe,-1061.156252,3.11,3.86,4.76,1.75,2.61,4.31,-0.39
CCl_CBFF_CH_CNMeMe_CH_CNMeMe,-1183.718693,3.17,4.02,4.51,1.89,2.68,4.55,-0.61
CF_CBFF_CH_CNMeMe_CH_CNMeMe,-823.368485,3.48,4.36,4.48,2.2,2.89,4.5,-0.92
CBFF_CBFF_CH_CNMeMe_CH_CNMeMe,-948.19189,2.95,3.76,4.44,1.59,2.55,4.24,-0.23
CBHH_CBFF_CH_CNMeMe_CH_CNMeMe,-749.553331,3.32,4.57,4.87,2.11,2.84,4.52,-0.9
CH_CBFF_CH_CNMeMe_CH_CNMeMe,-724.130615,3.48,4.29,4.34,2.1,2.86,4.36,-0.73
CCHHH_CBFF_CH_CNMeMe_CH_CNMeMe,-763.426951,3.23,4.02,4.23,1.94,2.74,4.25,-0.65
CSH_CBFF_CH_CNMeMe_CH_CNMeMe,-1122.305728,3.03,3.9,4.32,1.87,2.66,4.26,-0.72
COCHHH_CBFF_CH_CNMeMe_CH_CNMeMe,-838.64021,3.4,4.24,4.45,2.15,2.83,4.48,-0.9
COH_CBFF_CH_CNMeMe_CH_CNMeMe,-799.363354,3.42,4.34,4.35,2.27,2.91,4.37,-1.12
CNHH_CBFF_CH_CNMeMe_CH_CNMeMe,-779.490444,3.37,4.08,4.23,2.26,2.9,4.1,-1.15
CSiHHH_CBFF_CH_CNMeMe_CH_CNMeMe,-1014.789309,3.03,3.85,4.3,1.7,2.64,4.28,-0.36
CNMeMe_CBFF_CH_CNMeMe_CH_CNMeMe,-858.077699,3.24,4.08,4.12,2.18,2.85,4.09,-1.13
CCN_CBFF_CNOO_CCHHH_CBFF_CSiHHH,-1306.99835,3.28,3.99,4.29,2.24,2.47,2.69,-1.21
CCN_CBFF_CCN_CCHHH_CBFF_CSiHHH,-1194.744622,3.24,4.13,4.82,2.19,2.29,4.51,-1.13
CCN_CBFF_CCFFF_CCHHH_CBFF_CSiHHH,-1439.560552,3.35,4.37,5,2.25,2.5,4.77,-1.16
CCN_CBFF_CCl_CCHHH_CBFF_CSiHHH,-1562.109308,3.19,4.17,4.91,2.13,2.37,4.72,-1.06
CCN_CBFF_CF_CCHHH_CBFF_CSiHHH,-1201.750877,3.32,4.18,5.1,2.15,2.4,4.84,-0.98
CCN_CBFF_CBFF_CCHHH_CBFF_CSiHHH,-1326.583982,3.26,4.33,4.83,2.21,2.47,4.51,-1.16
CCN_CBFF_CBHH_CCHHH_CBFF_CSiHHH,-1127.939014,3.17,4.21,4.54,2.12,2.39,4.09,-1.07
CCN_CBFF_CH_CCHHH_CBFF_CSiHHH,-1102.511108,3.31,4.18,4.9,2.21,2.33,4.67,-1.11
CCN_CBFF_CSiHHH_CCHHH_CBFF_CSiHHH,-1393.184395,3.21,4.3,4.83,2.2,2.42,4.62,-1.19
CCN_CBFF_CCHHH_CCHHH_CBFF_CSiHHH,-1141.819911,3.21,4.21,4.9,2.17,2.37,4.65,-1.13
CCN_CBFF_CSH_CCHHH_CBFF_CSiHHH,-1500.698605,3.1,4.07,5.21,1.93,2.54,4.32,-0.76
CCN_CBFF_COCHHH_CCHHH_CBFF_CSiHHH,-1217.021693,3.25,4.18,4.54,2.11,2.43,4.34,-0.98
CCN_CBFF_COH_CCHHH_CBFF_CSiHHH,-1177.746499,3.27,4.14,5.14,2,2.54,4.65,-0.73
CCN_CBFF_CNHH_CCHHH_CBFF_CSiHHH,-1157.880327,2.81,4.1,5.24,1.66,2.57,4.28,-0.5
